Home,Away
team1,team2
team1,team3
team1,team4
team1,team5
team1,team6
team1,team7
team1,team8
team1,team9
team1,team10
team1,team11
team1,team12
team1,team13
team1,team14
team1,team15
team1,team16
team1,team17
team1,team18
team2,team3
team2,team4
team2,team5
team2,team6
team2,team7
team2,team8
team2,team9
team2,team10
team2,team11
team2,team12
team2,team13
team2,team14
team2,team15
team2,team16
team2,team17
team2,team18
team3,team4
team3,team5
team3,team6
team3,team7
team3,team8
team3,team9
team3,team10
team3,team11
team3,team12
team3,team13
team3,team14
team3,team15
team3,team16
team3,team17
team3,team18
team4,team5
team4,team6
team4,team7
team4,team8
team4,team9
team4,team10
team4,team11
team4,team12
team4,team13
team4,team14
team4,team15
team4,team16
team4,team17
team4,team18
team5,team6
team5,team7
team5,team8
team5,team9
team5,team10
team5,team11
team5,team12
team5,team13
team5,team14
team5,team15
team5,team16
team5,team17
team5,team18
team6,team7
team6,team8
team6,team9
team6,team10
team6,team11
team6,team12
team6,team13
team6,team14
team6,team15
team6,team16
team6,team17
team6,team18
team7,team8
team7,team9
team7,team10
team7,team11
team7,team12
team7,team13
team7,team14
team7,team15
team7,team16
team7,team17
team7,team18
team8,team9
team8,team10
team8,team11
team8,team12
team8,team13
team8,team14
team8,team15
team8,team16
team8,team17
team8,team18
team9,team10
team9,team11
team9,team12
team9,team13
team9,team14
team9,team15
team9,team16
team9,team17
team9,team18
team10,team11
team10,team12
team10,team13
team10,team14
team10,team15
team10,team16
team10,team17
team10,team18
team11,team12
team11,team13
team11,team14
team11,team15
team11,team16
team11,team17
team11,team18
team12,team13
team12,team14
team12,team15
team12,team16
team12,team17
team12,team18
team13,team14
team13,team15
team13,team16
team13,team17
team13,team18
team14,team15
team14,team16
team14,team17
team14,team18
team15,team16
team15,team17
team15,team18
team16,team17
team16,team18
team17,team18
team2,team1
team3,team1
team4,team1
team5,team1
team6,team1
team7,team1
team8,team1
team9,team1
team10,team1
team11,team1
team12,team1
team13,team1
team14,team1
team15,team1
team16,team1
team17,team1
team18,team1
team3,team2
team4,team2
team5,team2
team6,team2
team7,team2
team8,team2
team9,team2
team10,team2
team11,team2
team12,team2
team13,team2
team14,team2
team15,team2
team16,team2
team17,team2
team18,team2
team4,team3
team5,team3
team6,team3
team7,team3
team8,team3
team9,team3
team10,team3
team11,team3
team12,team3
team13,team3
team14,team3
team15,team3
team16,team3
team17,team3
team18,team3
team5,team4
team6,team4
team7,team4
team8,team4
team9,team4
team10,team4
team11,team4
team12,team4
team13,team4
team14,team4
team15,team4
team16,team4
team17,team4
team18,team4
team6,team5
team7,team5
team8,team5
team9,team5
team10,team5
team11,team5
team12,team5
team13,team5
team14,team5
team15,team5
team16,team5
team17,team5
team18,team5
team7,team6
team8,team6
team9,team6
team10,team6
team11,team6
team12,team6
team13,team6
team14,team6
team15,team6
team16,team6
team17,team6
team18,team6
team8,team7
team9,team7
team10,team7
team11,team7
team12,team7
team13,team7
team14,team7
team15,team7
team16,team7
team17,team7
team18,team7
team9,team8
team10,team8
team11,team8
team12,team8
team13,team8
team14,team8
team15,team8
team16,team8
team17,team8
team18,team8
team10,team9
team11,team9
team12,team9
team13,team9
team14,team9
team15,team9
team16,team9
team17,team9
team18,team9
team11,team10
team12,team10
team13,team10
team14,team10
team15,team10
team16,team10
team17,team10
team18,team10
team12,team11
team13,team11
team14,team11
team15,team11
team16,team11
team17,team11
team18,team11
team13,team12
team14,team12
team15,team12
team16,team12
team17,team12
team18,team12
team14,team13
team15,team13
team16,team13
team17,team13
team18,team13
team15,team14
team16,team14
team17,team14
team18,team14
team16,team15
team17,team15
team18,team15
team17,team16
team18,team16
team18,team17
