Away,Home
HoustonAstros,LosAngelesAngels
SanDiegoPadres,ArizonaD'Backs
CincinnatiReds,AtlantaBraves
MilwaukeeBrewers,ChicagoCubs
ClevelandGuardians,KansasCityRoyals
PittsburghPirates,St.LouisCardinals
NewYorkMets,WashingtonNationals
HoustonAstros,LosAngelesAngels
SanDiegoPadres,ArizonaD'Backs
CincinnatiReds,AtlantaBraves
LosAngelesDodgers,ColoradoRockies
ChicagoWhiteSox,DetroitTigers
SeattleMariners,MinnesotaTwins
BostonRedSox,NewYorkYankees
OaklandAthletics,PhiladelphiaPhillies
MiamiMarlins,SanFranciscoGiants
BaltimoreOrioles,TampaBayRays
TexasRangers,TorontoBlueJays
NewYorkMets,WashingtonNationals
HoustonAstros,LosAngelesAngels
SanDiegoPadres,ArizonaD'Backs
CincinnatiReds,AtlantaBraves
MilwaukeeBrewers,ChicagoCubs
LosAngelesDodgers,ColoradoRockies
ChicagoWhiteSox,DetroitTigers
ClevelandGuardians,KansasCityRoyals
SeattleMariners,MinnesotaTwins
BostonRedSox,NewYorkYankees
OaklandAthletics,PhiladelphiaPhillies
MiamiMarlins,SanFranciscoGiants
PittsburghPirates,St.LouisCardinals
BaltimoreOrioles,TampaBayRays
TexasRangers,TorontoBlueJays
NewYorkMets,WashingtonNationals
HoustonAstros,LosAngelesAngels
SanDiegoPadres,ArizonaD'Backs
CincinnatiReds,AtlantaBraves
MilwaukeeBrewers,ChicagoCubs
LosAngelesDodgers,ColoradoRockies
ChicagoWhiteSox,DetroitTigers
ClevelandGuardians,KansasCityRoyals
SeattleMariners,MinnesotaTwins
BostonRedSox,NewYorkYankees
OaklandAthletics,PhiladelphiaPhillies
MiamiMarlins,SanFranciscoGiants
PittsburghPirates,St.LouisCardinals
BaltimoreOrioles,TampaBayRays
TexasRangers,TorontoBlueJays
NewYorkMets,WashingtonNationals
MiamiMarlins,LosAngelesAngels
WashingtonNationals,AtlantaBraves
MilwaukeeBrewers,BaltimoreOrioles
BostonRedSox,DetroitTigers
ClevelandGuardians,KansasCityRoyals
SeattleMariners,MinnesotaTwins
TorontoBlueJays,NewYorkYankees
NewYorkMets,PhiladelphiaPhillies
SanDiegoPadres,SanFranciscoGiants
OaklandAthletics,TampaBayRays
ColoradoRockies,TexasRangers
MiamiMarlins,LosAngelesAngels
HoustonAstros,ArizonaD'Backs
WashingtonNationals,AtlantaBraves
MilwaukeeBrewers,BaltimoreOrioles
SeattleMariners,ChicagoWhiteSox
ClevelandGuardians,CincinnatiReds
BostonRedSox,DetroitTigers
LosAngelesDodgers,MinnesotaTwins
TorontoBlueJays,NewYorkYankees
NewYorkMets,PhiladelphiaPhillies
ChicagoCubs,PittsburghPirates
SanDiegoPadres,SanFranciscoGiants
KansasCityRoyals,St.LouisCardinals
OaklandAthletics,TampaBayRays
ColoradoRockies,TexasRangers
HoustonAstros,ArizonaD'Backs
WashingtonNationals,AtlantaBraves
MilwaukeeBrewers,BaltimoreOrioles
SeattleMariners,ChicagoWhiteSox
