Home,Away,Year
Seattle Sounders FC,New York Red Bulls,2009
Houston Dynamo,Columbus Crew SC,2009
FC Dallas,Chicago Fire FC,2009
Sporting Kansas City,Toronto FC,2009
Chivas USA,Colorado Rapids,2009
San Jose Earthquakes,New England Revolution,2009
LA Galaxy,DC United,2009
Columbus Crew SC,Toronto FC,2009
DC United,Chicago Fire FC,2009
New York Red Bulls,New England Revolution,2009
Colorado Rapids,Sporting Kansas City,2009
San Jose Earthquakes,Houston Dynamo,2009
Seattle Sounders FC,Real Salt Lake,2009
FC Dallas,Chivas USA,2009
Real Salt Lake,Columbus Crew SC,2009
Toronto FC,Seattle Sounders FC,2009
DC United,Houston Dynamo,2009
New England Revolution,FC Dallas,2009
LA Galaxy,Colorado Rapids,2009
Chicago Fire FC,New York Red Bulls,2009
Sporting Kansas City,San Jose Earthquakes,2009
Chivas USA,Columbus Crew SC,2009
San Jose Earthquakes,Chicago Fire FC,2009
Toronto FC,FC Dallas,2009
Real Salt Lake,DC United,2009
Columbus Crew SC,Colorado Rapids,2009
Houston Dynamo,New York Red Bulls,2009
LA Galaxy,Chivas USA,2009
Seattle Sounders FC,Sporting Kansas City,2009
DC United,New England Revolution,2009
New York Red Bulls,Real Salt Lake,2009
Chicago Fire FC,Sporting Kansas City,2009
Chivas USA,Seattle Sounders FC,2009
San Jose Earthquakes,LA Galaxy,2009
Houston Dynamo,Colorado Rapids,2009
FC Dallas,Toronto FC,2009
Toronto FC,Chivas USA,2009
Sporting Kansas City,New York Red Bulls,2009
Columbus Crew SC,Chicago Fire FC,2009
Real Salt Lake,New England Revolution,2009
Colorado Rapids,LA Galaxy,2009
Chivas USA,FC Dallas,2009
Seattle Sounders FC,San Jose Earthquakes,2009
New York Red Bulls,DC United,2009
Toronto FC,Sporting Kansas City,2009
Toronto FC,Columbus Crew SC,2009
DC United,FC Dallas,2009
Chicago Fire FC,Seattle Sounders FC,2009
Colorado Rapids,Real Salt Lake,2009
LA Galaxy,New York Red Bulls,2009
San Jose Earthquakes,Chivas USA,2009
New England Revolution,Houston Dynamo,2009
Sporting Kansas City,DC United,2009
Real Salt Lake,LA Galaxy,2009
New York Red Bulls,San Jose Earthquakes,2009
Columbus Crew SC,Sporting Kansas City,2009
DC United,Toronto FC,2009
Chicago Fire FC,New England Revolution,2009
Houston Dynamo,FC Dallas,2009
Chivas USA,Real Salt Lake,2009
Seattle Sounders FC,LA Galaxy,2009
Toronto FC,Chicago Fire FC,2009
New England Revolution,Colorado Rapids,2009
New York Red Bulls,Houston Dynamo,2009
FC Dallas,Seattle Sounders FC,2009
Real Salt Lake,Sporting Kansas City,2009
Chivas USA,DC United,2009
LA Galaxy,Columbus Crew SC,2009
Toronto FC,New England Revolution,2009
DC United,Real Salt Lake,2009
FC Dallas,LA Galaxy,2009
Houston Dynamo,San Jose Earthquakes,2009
Sporting Kansas City,Chivas USA,2009
Colorado Rapids,Seattle Sounders FC,2009
New York Red Bulls,Chicago Fire FC,2009
Columbus Crew SC,San Jose Earthquakes,2009
Chivas USA,Chicago Fire FC,2009
New England Revolution,DC United,2009
New York Red Bulls,Colorado Rapids,2009
Houston Dynamo,Toronto FC,2009
LA Galaxy,Sporting Kansas City,2009
San Jose Earthquakes,Real Salt Lake,2009
Seattle Sounders FC,Columbus Crew SC,2009
Chicago Fire FC,FC Dallas,2009
DC United,New York Red Bulls,2009
