Home,Away
ARI,SEA
BAL,CIN
CHI,IND
CLE,PHI
DEN,PIT
DET,LAR
GB,SF
HOU,MIA
KC,ATL
LV,LAC
MIN,JAX
NO,WSH
NYG,DAL
NYJ,BUF
TB,CAR
TEN,NE
ATL,DEN
BUF,KC
CAR,NO
CIN,CLE
GB,CHI
IND,MIN
JAX,HOU
LAR,WSH
LAC,TEN
MIA,LV
NE,ARI
NYG,TB
PHI,BAL
PIT,NYJ
SF,DET
SEA,DAL
ARI,PHI
BAL,NE
CAR,NYG
CHI,LAR
CLE,BUF
DAL,TB
DEN,HOU
IND,JAX
LV,PIT
LAC,ATL
MIA,NYJ
MIN,SF
NO,KC
SEA,GB
TEN,DET
WSH,CIN
ARI,MIA
ATL,CAR
BAL,CLE
BUF,NE
DAL,CHI
DEN,LV
DET,MIN
GB,NO
HOU,TEN
JAX,CIN
KC,LAC
LAR,SEA
NYJ,SF
PHI,NYG
TB,WSH
CAR,SEA
CIN,MIA
IND,GB
JAX,CHI
KC,BAL
LAR,ARI
MIN,TEN
NE,DEN
NO,LAC
NYG,CLE
NYJ,HOU
PIT,PHI
SF,BUF
WSH,ATL
ARI,BUF
ATL,LV
BAL,DAL
CLE,CIN
HOU,GB
LAC,DEN
MIA,LAR
NYJ,IND
PHI,DET
SF,NYG
SEA,NE
TB,KC
TEN,PIT
WSH,MIN
BUF,TEN
CAR,DAL
CHI,DET
CIN,PIT
HOU,BAL
IND,CLE
LV,JAX
LAR,GB
MIN,ARI
NE,NYJ
NYG,WSH
SF,SEA
TB,NO
ARI,SF
CHI,CAR
CLE,LAC
DAL,NYG
DEN,NO
DET,SEA
GB,JAX
KC,LV
LAR,NE
MIN,TB
NYJ,MIA
PHI,ATL
PIT,WSH
TEN,IND
ATL,DAL
CIN,DEN
CLE,BAL
GB,ARI
HOU,BUF
IND,MIA
JAX,DET
LV,TB
LAC,KC
NO,PHI
NYG,PIT
SEA,MIN
TEN,CHI
WSH,CAR
BAL,LV
CAR,DEN
CHI,HOU
CIN,NYG
JAX,IND
MIA,TEN
MIN,DET
NE,BUF
NO,ATL
PHI,DAL
PIT,KC
SF,LAR
SEA,NYJ
TB,LAC
ATL,ARI
BUF,MIA
CAR,TB
DAL,CLE
DEN,LAC
DET,GB
HOU,JAX
KC,CIN
LV,NO
LAR,NYJ
NE,IND
PIT,BAL
SF,CHI
WSH,PHI
ARI,LAR
CHI,MIN
CIN,LV
CLE,PIT
DAL,WSH
DET,HOU
IND,BUF
JAX,TEN
KC,DEN
LAC,BAL
MIA,SEA
NO,SF
NYG,GB
NYJ,NE
PHI,CAR
TB,ATL
ATL,NO
BAL,PIT
BUF,JAX
CHI,SEA
DAL,PHI
DEN,TB
DET,IND
GB,MIN
KC,CAR
LV,CLE
LAR,SF
LAC,CIN
MIA,NE
NYJ,ARI
TEN,HOU
WSH,NYG
BUF,LAR
CAR,ATL
CIN,DAL
CLE,KC
GB,DET
IND,TEN
JAX,NYJ
LV,DEN
MIN,CHI
NE,HOU
NYG,NO
PIT,LAC
SF,MIA
SEA,ARI
TB,PHI
WSH,BAL
ARI,DET
ATL,NYG
BAL,DEN
BUF,SEA
CHI,GB
CLE,WSH
DAL,PIT
HOU,IND
LV,KC
LAR,MIN
LAC,CAR
MIA,JAX
NE,SF
NO,TB
PHI,CIN
TEN,NYJ
ARI,CHI
BAL,NYG
CAR,LV
DAL,NO
DEN,CLE
DET,ATL
GB,TEN
HOU,MIN
JAX,NE
KC,IND
MIA,BUF
NYJ,LAC
PHI,WSH
PIT,CIN
SEA,SF
TB,LAR
ATL,TB
BUF,NYJ
CIN,BAL
DEN,KC
DET,CHI
IND,HOU
LAC,LV
MIN,GB
NE,MIA
NO,CAR
NYG,PHI
PIT,CLE
SF,ARI
SEA,LAR
TEN,JAX
WSH,DAL
