athlete_id,total_starter,name
43,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
43,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
43,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
43,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
50,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
50,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
53,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
53,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
53,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
53,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
53,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
53,47,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 "
53,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
53,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
60,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
60,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
60,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
60,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
60,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
60,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
60,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
60,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
436,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
436,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
436,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
436,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
436,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
436,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
436,47,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 "
436,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
436,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
439,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
439,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
441,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
441,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
441,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
441,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
443,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
443,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
443,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
443,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
443,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
443,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
634,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
634,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
634,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
634,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
774,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
774,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
774,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
774,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
848,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
848,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
848,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
849,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
849,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
849,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
849,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1202,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
1202,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1204,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
1204,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
1204,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
1204,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
1204,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
1204,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
1204,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1205,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
1205,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
1205,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
1205,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
1205,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1209,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
1209,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
1209,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
1209,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
1209,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
1209,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
1209,47,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 "
1209,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
1209,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1211,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
1211,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
1211,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
1211,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
1211,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
1211,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
1211,47,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 "
1211,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
1360,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
1360,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1361,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
1361,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1362,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
1362,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
1362,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1363,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1479,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1559,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
1559,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
1559,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
1559,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
1559,47,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 "
1559,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
1559,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1707,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
2172,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
2253,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
2253,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
2253,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
2253,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
2253,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
2253,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
2253,47,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 "
2253,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
2253,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
2255,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
2255,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
2255,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
2255,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
2255,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
2255,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
2255,47,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 "
2255,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
2255,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
2480,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
2480,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
2480,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
2480,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
2480,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
2726,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
2759,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
2759,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
2759,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
2822,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
2822,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
2822,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
2822,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
2823,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
2823,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
2823,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
2823,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
2823,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
2823,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
2823,47,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 "
2823,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
2823,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
3058,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
3059,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
3059,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
3059,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
3059,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
3357,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
3429,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
3429,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
3429,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
3577,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
3577,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
3577,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
3577,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
3577,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
3577,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
3577,47,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 "
3577,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
3577,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
3578,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
3578,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
3578,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
3578,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
3578,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
3578,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
3578,47,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 "
3578,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
3578,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
4756,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
4761,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
4761,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
4761,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
4763,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
4763,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
4763,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
4763,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
4763,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
4776,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
4801,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
4801,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
5403,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
5820,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
5820,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
5820,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
5820,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
5820,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
5820,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
5826,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
5887,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
9191,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
9191,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
72,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
79,47,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 "
445,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
445,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
445,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
446,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
446,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
446,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
446,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
446,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
446,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
446,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
446,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
454,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
454,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
454,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
454,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
631,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
631,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
1124,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
1124,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
1124,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
1124,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
1124,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
1124,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
1124,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
1124,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1357,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
1357,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
1357,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
1357,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
1709,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
1710,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
1710,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
1710,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
1710,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
1710,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
1710,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
1710,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
2839,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
2839,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
2839,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
2846,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
2846,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
2846,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
2846,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
3124,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
3124,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
3124,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
3124,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
3779,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
3779,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
3779,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
4150,78,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 "
4150,82,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014"
4150,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
4150,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
4150,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
4150,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
4150,99,IFSC Climbing Worldcup (B) - Laval (FRA) 2014
4150,192,IFSC Climbing World Championship (B) - Munich (GER) 2014
4613,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
4755,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
4837,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
5295,139,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 
5295,151,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 
5295,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
5879,81,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 
5879,92,IFSC Climbing Worldcup (B) - Vail (USA) 2014
