athlete_id,total_starter,name
49,109,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
49,112,IFSC Climbing Worldcup (L) - Briançon (FRA) 2012
49,90,IFSC Climbing Worldcup (L) - Imst (AUT) 2012
49,167,IFSC Climbing World Championship - Paris (FRA) 2012
49,85,IFSC World Championship Lead Group A - Paris 2012
49,67,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012
49,64,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 
49,40,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012"
49,65,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 "
49,59,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012
49,84,IFSC Climbing Worldcup (L) - Kranj (SLO) 2012
58,109,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
58,112,IFSC Climbing Worldcup (L) - Briançon (FRA) 2012
58,90,IFSC Climbing Worldcup (L) - Imst (AUT) 2012
58,167,IFSC Climbing World Championship - Paris (FRA) 2012
58,85,IFSC World Championship Lead Group A - Paris 2012
58,67,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012
61,109,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
61,112,IFSC Climbing Worldcup (L) - Briançon (FRA) 2012
61,90,IFSC Climbing Worldcup (L) - Imst (AUT) 2012
61,167,IFSC Climbing World Championship - Paris (FRA) 2012
61,85,IFSC World Championship Lead Group A - Paris 2012
61,67,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012
61,64,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 
61,40,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012"
61,65,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 "
61,59,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012
61,84,IFSC Climbing Worldcup (L) - Kranj (SLO) 2012
71,109,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
71,112,IFSC Climbing Worldcup (L) - Briançon (FRA) 2012
71,167,IFSC Climbing World Championship - Paris (FRA) 2012
71,85,IFSC World Championship Lead Group A - Paris 2012
437,109,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
437,112,IFSC Climbing Worldcup (L) - Briançon (FRA) 2012
437,90,IFSC Climbing Worldcup (L) - Imst (AUT) 2012
437,167,IFSC Climbing World Championship - Paris (FRA) 2012
437,85,IFSC World Championship Lead Group A - Paris 2012
437,67,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012
437,64,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 
437,40,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012"
437,65,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 "
437,59,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012
