Home,Away,Year
FC Dallas,Chicago Fire FC,2006
Sporting Kansas City,Columbus Crew SC,2006
LA Galaxy,New England Revolution,2006
Chivas USA,Real Salt Lake,2006
DC United,New York Red Bulls,2006
Houston Dynamo,Colorado Rapids,2006
DC United,Chivas USA,2006
Colorado Rapids,Columbus Crew SC,2006
FC Dallas,Real Salt Lake,2006
Houston Dynamo,Sporting Kansas City,2006
LA Galaxy,Chicago Fire FC,2006
New York Red Bulls,New England Revolution,2006
Columbus Crew SC,Chicago Fire FC,2006
Colorado Rapids,FC Dallas,2006
Real Salt Lake,New York Red Bulls,2006
DC United,Houston Dynamo,2006
Sporting Kansas City,New England Revolution,2006
Chivas USA,LA Galaxy,2006
New York Red Bulls,DC United,2006
Houston Dynamo,Real Salt Lake,2006
LA Galaxy,Columbus Crew SC,2006
FC Dallas,Sporting Kansas City,2006
Real Salt Lake,LA Galaxy,2006
Chivas USA,New York Red Bulls,2006
Colorado Rapids,Houston Dynamo,2006
Columbus Crew SC,Sporting Kansas City,2006
DC United,FC Dallas,2006
New England Revolution,Chicago Fire FC,2006
New England Revolution,LA Galaxy,2006
Colorado Rapids,DC United,2006
Real Salt Lake,Columbus Crew SC,2006
Houston Dynamo,FC Dallas,2006
Sporting Kansas City,Chicago Fire FC,2006
FC Dallas,LA Galaxy,2006
FC Dallas,Houston Dynamo,2006
New England Revolution,Chivas USA,2006
Columbus Crew SC,Colorado Rapids,2006
DC United,Sporting Kansas City,2006
LA Galaxy,Real Salt Lake,2006
New York Red Bulls,Chicago Fire FC,2006
Houston Dynamo,Chicago Fire FC,2006
Real Salt Lake,Sporting Kansas City,2006
Columbus Crew SC,DC United,2006
FC Dallas,New England Revolution,2006
LA Galaxy,Colorado Rapids,2006
New York Red Bulls,Chivas USA,2006
New York Red Bulls,FC Dallas,2006
Real Salt Lake,Colorado Rapids,2006
New England Revolution,Houston Dynamo,2006
Sporting Kansas City,DC United,2006
Chivas USA,Chicago Fire FC,2006
Colorado Rapids,LA Galaxy,2006
DC United,Columbus Crew SC,2006
Chivas USA,Colorado Rapids,2006
Real Salt Lake,Chicago Fire FC,2006
DC United,New England Revolution,2006
FC Dallas,Columbus Crew SC,2006
Houston Dynamo,LA Galaxy,2006
Sporting Kansas City,New York Red Bulls,2006
LA Galaxy,Chivas USA,2006
Colorado Rapids,Real Salt Lake,2006
Columbus Crew SC,Sporting Kansas City,2006
New York Red Bulls,Houston Dynamo,2006
FC Dallas,Chivas USA,2006
LA Galaxy,DC United,2006
Chicago Fire FC,New England Revolution,2006
New England Revolution,DC United,2006
Houston Dynamo,Real Salt Lake,2006
New York Red Bulls,LA Galaxy,2006
Sporting Kansas City,Chicago Fire FC,2006
Chivas USA,Columbus Crew SC,2006
Colorado Rapids,Chivas USA,2006
Columbus Crew SC,New England Revolution,2006
DC United,Chicago Fire FC,2006
Real Salt Lake,New England Revolution,2006
Columbus Crew SC,Chivas USA,2006
DC United,Sporting Kansas City,2006
FC Dallas,Colorado Rapids,2006
LA Galaxy,Houston Dynamo,2006
Chicago Fire FC,New York Red Bulls,2006
New England Revolution,FC Dallas,2006
Chivas USA,Houston Dynamo,2006
New York Red Bulls,Columbus Crew SC,2006
Sporting Kansas City,DC United,2006
Chicago Fire FC,Real Salt Lake,2006
New England Revolution,New York Red Bulls,2006
Chivas USA,FC Dallas,2006
Sporting Kansas City,LA Galaxy,2006
FC Dallas,DC United,2006
Chicago Fire FC,Sporting Kansas City,2006
Colorado Rapids,New England Revolution,2006
Houston Dynamo,Columbus Crew SC,2006
LA Galaxy,New York Red Bulls,2006
Real Salt Lake,Chivas USA,2006
Houston Dynamo,Chivas USA,2006
Colorado Rapids,Sporting Kansas City,2006
Chicago Fire FC,New England Revolution,2006
Columbus Crew SC,DC United,2006
FC Dallas,New York Red Bulls,2006
LA Galaxy,Real Salt Lake,2006
New York Red Bulls,Colorado Rapids,2006
New England Revolution,Real Salt Lake,2006
Chicago Fire FC,FC Dallas,2006
Chivas USA,LA Galaxy,2006
DC United,Columbus Crew SC,2006
Sporting Kansas City,Houston Dynamo,2006
Columbus Crew SC,New York Red Bulls,2006
Columbus Crew SC,LA Galaxy,2006
Chicago Fire FC,DC United,2006
Houston Dynamo,New England Revolution,2006
New York Red Bulls,Sporting Kansas City,2006
Real Salt Lake,FC Dallas,2006
Real Salt Lake,Chivas USA,2006
Colorado Rapids,Houston Dynamo,2006
FC Dallas,Colorado Rapids,2006
Real Salt Lake,DC United,2006
Chicago Fire FC,Columbus Crew SC,2006
Houston Dynamo,New York Red Bulls,2006
Sporting Kansas City,New England Revolution,2006
Chivas USA,New England Revolution,2006
Houston Dynamo,LA Galaxy,2006
New England Revolution,Sporting Kansas City,2006
Colorado Rapids,Real Salt Lake,2006
Colorado Rapids,LA Galaxy,2006
Chicago Fire FC,Chivas USA,2006
Houston Dynamo,FC Dallas,2006
Sporting Kansas City,Columbus Crew SC,2006
Chicago Fire FC,Sporting Kansas City,2006
Columbus Crew SC,Real Salt Lake,2006
New York Red Bulls,DC United,2006
DC United,Colorado Rapids,2006
Chivas USA,Sporting Kansas City,2006
Real Salt Lake,Houston Dynamo,2006
Columbus Crew SC,New York Red Bulls,2006
New England Revolution,Chicago Fire FC,2006
LA Galaxy,FC Dallas,2006
Chicago Fire FC,Colorado Rapids,2006
DC United,LA Galaxy,2006
New York Red Bulls,Real Salt Lake,2006
Chivas USA,Houston Dynamo,2006
New England Revolution,Columbus Crew SC,2006
Sporting Kansas City,FC Dallas,2006
Real Salt Lake,LA Galaxy,2006
Colorado Rapids,FC Dallas,2006
Sporting Kansas City,New York Red Bulls,2006
Chicago Fire FC,Houston Dynamo,2006
Real Salt Lake,Colorado Rapids,2006
Columbus Crew SC,New England Revolution,2006
FC Dallas,Houston Dynamo,2006
