Home,Away
ATL,PHI
BAL,IND
BUF,HOU
CAR,NO
CLE,CIN
DET,GB
JAX,SEA
KC,NYJ
LAC,DAL
MIA,DEN
MIN,TB
NE,LV
NYG,ARI
PIT,TEN
SF,LAR
WSH,CHI
ARI,LAR
CAR,NE
CHI,DET
CIN,MIN
DAL,WSH
DEN,LAC
GB,CLE
HOU,PIT
IND,JAX
LV,KC
NO,NYG
NYJ,MIA
PHI,SF
SEA,ATL
TB,BUF
TEN,BAL
BUF,ATL
CHI,CIN
DEN,KC
GB,TB
IND,CLE
LAR,TEN
LAC,NYG
MIA,CAR
MIN,NO
NYJ,JAX
PHI,LV
PIT,NE
SF,DAL
SEA,ARI
ARI,SF
ATL,MIN
BAL,NYJ
CAR,GB
CIN,HOU
JAX,DEN
KC,PHI
LV,DAL
NE,LAC
NO,BUF
NYG,LAR
TB,DET
TEN,IND
WSH,SEA
ARI,CAR
ATL,NE
BUF,MIA
CLE,CHI
DAL,PHI
DEN,WSH
DET,BAL
GB,NO
HOU,TEN
JAX,CIN
LAR,SEA
LAC,PIT
NYJ,TB
SF,IND
BAL,CLE
BUF,NYJ
CHI,MIN
DAL,NYG
DEN,NE
DET,CAR
IND,LAR
KC,WSH
LV,LAC
NO,ATL
PIT,JAX
SEA,HOU
TB,MIA
TEN,CIN
ARI,TEN
ATL,NYJ
CHI,BAL
CIN,PIT
CLE,DET
HOU,IND
LV,BUF
LAR,NO
MIA,KC
MIN,GB
NYG,DEN
PHI,LAC
SEA,DAL
WSH,SF
CAR,MIN
CIN,GB
DAL,ARI
DEN,PHI
DET,CHI
HOU,CLE
LAR,JAX
LAC,KC
NE,BUF
NO,MIA
NYG,WSH
PIT,BAL
SF,TB
TEN,LV
ARI,SEA
BAL,CIN
CLE,TEN
GB,PIT
JAX,HOU
KC,LV
MIA,ATL
MIN,DET
NE,IND
NO,CHI
NYJ,LAC
SF,NYG
TB,CAR
WSH,PHI
ATL,GB
BUF,KC
CAR,NYJ
CHI,SF
DET,ARI
IND,HOU
JAX,BAL
LV,DEN
MIA,NE
NYG,MIN
PHI,DAL
PIT,CLE
SEA,LAR
TB,WSH
ATL,TB
BAL,PIT
CHI,CAR
CIN,IND
CLE,MIA
DAL,DET
DEN,NYJ
GB,MIN
HOU,KC
LAR,ARI
LAC,BUF
NE,NO
NYG,PHI
SF,SEA
TEN,JAX
WSH,LV
ARI,JAX
BUF,CAR
CIN,BAL
DAL,DEN
DET,ATL
HOU,LAR
IND,PIT
KC,NE
LV,MIA
MIN,CLE
NYJ,NO
PHI,GB
SEA,NYG
TB,CHI
TEN,SF
WSH,LAC
BAL,HOU
CAR,ATL
CHI,GB
CLE,JAX
DET,MIN
IND,TEN
KC,DEN
LAR,WSH
LAC,LV
MIA,BUF
NE,NYJ
NO,TB
NYG,DAL
PHI,SEA
PIT,CIN
SF,ARI
ARI,WSH
ATL,NO
BUF,NE
CAR,TB
CIN,CLE
DAL,KC
DEN,BAL
GB,DET
JAX,IND
LAC,MIA
MIN,LAR
NYJ,LV
PHI,NYG
PIT,CHI
SEA,SF
TEN,HOU
BAL,GB
BUF,DEN
CHI,ATL
DET,CIN
HOU,ARI
IND,LAC
JAX,SF
LV,CLE
LAR,PHI
MIA,NYJ
MIN,PIT
NE,TB
NO,CAR
NYG,KC
TEN,SEA
WSH,DAL
ARI,PHI
BAL,MIN
CAR,DAL
CIN,BUF
CLE,PIT
DEN,LV
GB,CHI
HOU,JAX
KC,LAC
LAR,SF
MIA,TEN
NO,DET
NYJ,NE
SEA,IND
TB,ATL
WSH,NYG
ATL,CAR
CLE,BAL
DAL,LAR
GB,SEA
IND,ARI
JAX,TEN
KC,CIN
LV,NYG
LAC,DEN
MIN,CHI
NE,MIA
NYJ,BUF
PHI,WSH
PIT,DET
SF,HOU
TB,NO
