athlete_id,total_starter,name
437,183,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019"
437,214,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 "
437,167,IFSC Climbing Worldcup (L) - Briançon (FRA) 2019 
437,191,IFSC Climbing World Championships - Hachioji (JPN) 2019
437,125,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 
437,106,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 "
437,106,IFSC Climbing Worldcup (L) - Inzai (JPN) 2019 
1122,167,IFSC Climbing Worldcup (L) - Briançon (FRA) 2019 
1122,191,IFSC Climbing World Championships - Hachioji (JPN) 2019
1122,125,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 
1124,183,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019"
1124,214,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 "
1124,167,IFSC Climbing Worldcup (L) - Briançon (FRA) 2019 
1124,191,IFSC Climbing World Championships - Hachioji (JPN) 2019
1124,125,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 
1124,106,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 "
1210,183,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019"
1210,214,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 "
1210,167,IFSC Climbing Worldcup (L) - Briançon (FRA) 2019 
1210,191,IFSC Climbing World Championships - Hachioji (JPN) 2019
1210,106,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 "
1210,106,IFSC Climbing Worldcup (L) - Inzai (JPN) 2019 
1214,183,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019"
1214,214,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 "
1214,191,IFSC Climbing World Championships - Hachioji (JPN) 2019
1214,125,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 
1361,183,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019"
1361,214,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 "
1361,191,IFSC Climbing World Championships - Hachioji (JPN) 2019
1361,125,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 
1361,106,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 "
1361,106,IFSC Climbing Worldcup (L) - Inzai (JPN) 2019 
2033,183,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019"
2033,214,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 "
2033,167,IFSC Climbing Worldcup (L) - Briançon (FRA) 2019 
2033,191,IFSC Climbing World Championships - Hachioji (JPN) 2019
2033,125,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 
2035,183,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019"
