GP,W,D,L,F,A,GD,P,Team,Year,PPG
30,15,8,7,53,43,+10,53,1 CHI Chicago Fire FC,2003,
30,12,9,9,55,47,+8,45,2 NE New England Revolution,2003,
30,11,9,10,40,40,0,42,3 NY New York Red Bulls,2003,
30,10,9,11,38,36,+2,39,4 DC D.C. United,2003,
30,10,8,12,44,44,0,38,5 CLB Columbus Crew,2003,
30,14,9,7,45,35,+10,51,1 SJ San Jose Earthquakes,2003,
30,11,9,10,48,44,+4,42,2 SKC Sporting Kansas City,2003,
30,11,7,12,40,45,-5,40,3 COL Colorado Rapids,2003,
30,9,9,12,35,35,0,36,4 LA LA Galaxy,2003,
30,6,5,19,35,64,-29,23,5 DAL FC Dallas,2003,
30,12,13,5,40,32,+8,49,1 CLB Columbus Crew,2004,
30,11,9,10,43,42,+1,42,2 DC D.C. United,2004,
30,11,7,12,47,49,-2,40,3 NY New York Red Bulls,2004,
30,8,9,13,42,43,-1,33,4 NE New England Revolution,2004,
30,8,9,13,36,44,-8,33,5 CHI Chicago Fire FC,2004,
30,14,7,9,38,30,+8,49,1 SKC Sporting Kansas City,2004,
30,11,10,9,42,40,+2,43,2 LA LA Galaxy,2004,
30,10,11,9,29,32,-3,41,3 COL Colorado Rapids,2004,
30,9,11,10,41,35,+6,38,4 SJ San Jose Earthquakes,2004,
30,10,6,14,34,45,-11,36,5 DAL FC Dallas,2004,
32,17,8,7,55,37,+18,59,1 NE New England Revolution,2005,
32,16,6,10,58,37,+21,54,2 DC D.C. United,2005,
32,15,4,13,49,50,-1,49,3 CHI Chicago Fire FC,2005,
32,12,11,9,53,49,+4,47,4 NY New York Red Bulls,2005,
32,11,12,9,52,44,+8,45,5 SKC Sporting Kansas City,2005,
32,11,5,16,34,45,-11,38,6 CLB Columbus Crew,2005,
32,18,10,4,53,31,+22,64,1 SJ San Jose Earthquakes,2005,
32,13,9,10,52,44,+8,48,2 DAL FC Dallas,2005,
32,13,6,13,40,37,+3,45,3 COL Colorado Rapids,2005,
32,13,6,13,44,45,-1,45,4 LA LA Galaxy,2005,
32,5,5,22,30,65,-35,20,5 RSL Real Salt Lake,2005,
32,4,6,22,31,67,-36,18,6 CHV Chivas USA,2005,
32,15,10,7,52,38,+14,55,1 DC D.C. United,2006,
32,12,12,8,39,35,+4,48,2 NE New England Revolution,2006,
32,13,8,11,43,41,+2,47,3 CHI Chicago Fire FC,2006,
32,9,12,11,41,41,0,39,4 NY New York Red Bulls,2006,
32,10,8,14,43,45,-2,38,5 SKC Sporting Kansas City,2006,
32,8,9,15,30,42,-12,33,6 CLB Columbus Crew,2006,
32,16,4,12,48,44,+4,52,1 DAL FC Dallas,2006,
32,11,13,8,44,40,+4,46,2 HOU Houston Dynamo FC,2006,
32,10,13,9,45,42,+3,43,3 CHV Chivas USA,2006,
32,11,8,13,36,49,-13,41,4 COL Colorado Rapids,2006,
32,11,6,15,37,37,0,39,5 LA LA Galaxy,2006,
32,10,9,13,45,49,-4,39,6 RSL Real Salt Lake,2006,
30,16,7,7,56,34,+22,55,1 DC D.C. United,2007,
30,14,8,8,51,43,+8,50,2 NE New England Revolution,2007,
30,12,7,11,47,45,+2,43,3 NY New York Red Bulls,2007,
30,11,7,12,45,45,0,40,4 SKC Sporting Kansas City,2007,
30,10,10,10,31,36,-5,40,5 CHI Chicago Fire FC,2007,
30,9,10,11,39,44,-5,37,6 CLB Columbus Crew,2007,
30,6,7,17,25,49,-24,25,7 TOR Toronto FC,2007,
30,15,8,7,46,28,+18,53,1 CHV Chivas USA,2007,
30,15,7,8,43,23,+20,52,2 HOU Houston Dynamo FC,2007,
30,13,5,12,37,44,-7,44,3 DAL FC Dallas,2007,
30,9,8,13,29,34,-5,35,4 COL Colorado Rapids,2007,
30,9,7,14,38,48,-10,34,5 LA LA Galaxy,2007,
30,6,9,15,31,45,-14,27,6 RSL Real Salt Lake,2007,
30,17,6,7,50,36,+14,57,1 CLB Columbus Crew,2008,
30,13,7,10,44,33,+11,46,2 CHI Chicago Fire FC,2008,
30,12,7,11,40,43,-3,43,3 NE New England Revolution,2008,
30,11,9,10,37,39,-2,42,4 SKC Sporting Kansas City,2008,
30,10,9,11,42,48,-6,39,5 NY New York Red Bulls,2008,
30,11,4,15,43,51,-8,37,6 DC D.C. United,2008,
30,9,8,13,34,43,-9,35,7 TOR Toronto FC,2008,
30,13,12,5,45,32,+13,51,1 HOU Houston Dynamo FC,2008,
30,12,7,11,40,41,-1,43,2 CHV Chivas USA,2008,
30,10,10,10,40,39,+1,40,3 RSL Real Salt Lake,2008,
30,11,5,14,44,45,-1,38,4 COL Colorado Rapids,2008,
30,8,12,10,45,41,+4,36,5 DAL FC Dallas,2008,
30,8,9,13,32,38,-6,33,6 SJ San Jose Earthquakes,2008,
30,8,9,13,55,62,-7,33,7 LA LA Galaxy,2008,
30,13,10,7,41,31,+10,49,1 CLB Columbus Crew,2009,
30,11,12,7,39,34,+5,45,2 CHI Chicago Fire FC,2009,
30,11,9,10,33,37,-4,42,3 NE New England Revolution,2009,
30,9,13,8,43,44,-1,40,4 DC D.C. United,2009,
30,10,9,11,37,46,-9,39,5 TOR Toronto FC,2009,
30,8,9,13,33,42,-9,33,6 SKC Sporting Kansas City,2009,
30,5,6,19,27,47,-20,21,7 NY New York Red Bulls,2009,
