GP,W,L,OTL,PTS,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK,Team,Year,RW
82,58,16,8,124,58,0,0,27-9-5,31-7-3,305,209,+96,8-1-1,L1,*-z -- DET Detroit Red Wings,2005,
82,52,21,9,113,52,0,0,29-9-3,23-12-6,314,211,+103,3-5-2,W1,y -- OTT Ottawa Senators,2005,
82,53,23,6,112,53,0,0,28-11-2,25-12-4,265,218,+47,4-3-3,L2,y -- DAL Dallas Stars,2005,
82,52,22,8,112,52,0,0,31-8-2,21-14-6,294,260,+34,5-3-2,L2,y -- CAR Carolina Hurricanes,2005,
82,52,24,6,110,52,0,0,27-11-3,25-13-3,281,239,+42,7-3-0,W5,x -- BUF Buffalo Sabres,2005,
82,49,25,8,106,49,0,0,32-8-1,17-17-7,259,227,+32,7-3-0,W6,x -- NSH Nashville Predators,2005,
82,46,25,11,103,46,0,0,30-7-4,16-18-7,218,200,+18,6-1-3,L2,y -- CGY Calgary Flames,2005,
82,46,27,9,101,46,0,0,27-11-3,19-16-6,242,229,+13,10-0-0,W11,x -- NJ New Jersey Devils,2005,
82,45,26,11,101,45,0,0,22-13-6,23-13-5,267,259,+8,5-4-1,W1,x -- PHI Philadelphia Flyers,2005,
82,44,26,12,100,44,0,0,25-10-6,19-16-6,257,215,+42,4-6-0,L5,x -- NYR New York Rangers,2005,
82,44,27,11,99,44,0,0,25-9-7,19-18-4,266,242,+24,8-1-1,L1,x -- SJ San Jose Sharks,2005,
82,43,27,12,98,43,0,0,26-10-5,17-17-7,254,229,+25,6-4-0,W1,x -- ANA Anaheim Mighty Ducks,2005,
82,43,30,9,95,43,0,0,25-10-6,18-20-3,283,257,+26,4-5-1,L3,x -- COL Colorado Avalanche,2005,
82,41,28,13,95,41,0,0,20-15-6,21-13-7,256,251,+5,5-4-1,W2,x -- EDM Edmonton Oilers,2005,
82,42,31,9,93,42,0,0,24-13-4,18-18-5,243,247,-4,6-4-0,L2,x -- MTL Montreal Canadiens,2005,
82,43,33,6,92,43,0,0,25-14-2,18-19-4,252,260,-8,5-4-1,L1,x -- TB Tampa Bay Lightning,2005,
82,42,32,8,92,42,0,0,25-10-6,17-22-2,256,255,+1,4-4-2,W1,e -- VAN Vancouver Canucks,2005,
82,41,33,8,90,41,0,0,26-12-3,15-21-5,257,270,-13,7-1-2,W1,e -- TOR Toronto Maple Leafs,2005,
82,41,33,8,90,41,0,0,24-13-4,17-20-4,281,275,+6,6-2-2,L2,e -- ATL Atlanta Thrashers,2005,
82,42,35,5,89,42,0,0,26-14-1,16-21-4,249,270,-21,4-6-0,W2,e -- LA Los Angeles Kings,2005,
82,37,34,11,85,37,0,0,25-11-5,12-23-6,240,257,-17,4-4-2,W1,e -- FLA Florida Panthers,2005,
